曲名,类别,难度,等级,定数,达成率,DX分数, DX Rating
Selector,SD,Expert,11+,11.9,100.0735,1243,257
Spin me harder,SD,Expert,12,12.2,99.9351,687,257
Valsqotch,DX,Expert,13,13,99.9038,2211,274
WiPE OUT MEMORIES,DX,Expert,12+,12.9,99.8287,1948,271
Strive against fate,DX,Expert,13,13.2,100.4546,2061,286
sølips,DX,Expert,13+,13.7,99.3678,1892,283
Trick tear,DX,Expert,12,12.5,100.1442,1604,270
U&iVERSE -銀河鸞翔-,DX,Expert,12,12.1,100.3199,1914,262
躯樹の墓守,DX,Expert,13,13,100.6929,1936,292
ヨミビトシラズ,DX,Expert,12,12.5,100.773,1753,281
Alcyone,DX,Expert,12,12,98.8275,1612,240
Raven Emperor,DX,Expert,12,12,100.7982,1698,270
Yorugao,DX,Expert,12,12.2,99.3532,1558,252
華の集落、秋のお届け,DX,Expert,11+,11.8,100.5632,1525,265
星詠みとデスペラード,DX,Expert,11+,11.8,99.7088,1324,248
BLACK SWAN,DX,Expert,12+,12.7,100.527,1700,285
NAGAREBOSHI☆ROCKET,DX,Expert,12,12,100.3473,1464,260
Lia=Fail,DX,Expert,12+,12.8,100.024,1882,276
ほしぞらスペクタクル,DX,Expert,12,12.5,99.951,2033,263
VIIIbit Explorer,DX,Expert,13,13,100.5674,2249,292
Last Samurai,DX,Expert,12,12,100.4273,640,260
蒼穹舞楽,DX,Expert,12+,12.8,100.0369,1830,276
AMABIE,DX,Expert,12,12.4,100.322,1664,268
Xenovcipher,DX,Expert,12,12.5,100.0943,2083,270
Mutation,DX,Expert,12,12.5,100.2539,1698,270
≠彡"/了→,DX,Expert,12+,12.7,100.0847,1892,274
渦状銀河のシンフォニエッタ,DX,Expert,11+,11.8,100.4545,1495,256
封焔の135秒,DX,Expert,12+,12.7,100.2196,1558,274
Flashkick,DX,Expert,11,11.2,99.7769,1579,235
Heavenly Blast,DX,Expert,12+,12.8,100.2568,2063,277
Glorious Crown,SD,Expert,13,13.2,100.1747,1996,285
Hyper Active,SD,Expert,13,13.2,100.5228,1711,297
BREaK! BREaK! BREaK!,DX,Expert,12+,12.8,100.2688,1952,277
GIGANTØMAKHIA,DX,Expert,12+,12.9,100.5278,1648,290
STEEL TRANSONIC,DX,Expert,13,13,100.1344,1816,281
Alea jacta est!,SD,Expert,12+,12.9,99.529,1873,270
AMAZING MIGHTYYYY!!!!,SD,Expert,13,13.6,98.8026,2163,272
the EmpErroR,SD,Expert,13,13.4,98.8688,1972,268
ガラテアの螺旋,SD,Expert,13,13.3,100.6021,1459,299
TEmPTaTiON,DX,Expert,12,12.6,100.272,1807,272
SILENT BLUE,SD,Expert,12+,12.8,100.2376,1788,277
アポカリプスに反逆の焔を焚べろ,DX,Expert,12,12.5,100.0127,2025,270
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,SD,Expert,13,13,98.3889,1857,259
QZKago Requiem,SD,Expert,13,13,98.8607,1778,260
Contrapasso -paradiso-,SD,Expert,13,13,99.7853,1927,273
Oshama Scramble!,DX,Expert,11,11.4,99.9569,1550,240
Garakuta Doll Play,SD,Expert,13,13.1,98.8997,1853,263
Moon of Noon,SD,Expert,13,13.1,100.6609,1828,294
Blows Up Everything,DX,Expert,11+,11.9,100.7898,2007,267
PANDORA PARADOXXX,SD,Expert,13+,13.9,97.5267,2038,271
天火明命,SD,Expert,13,13.3,100.5063,1890,299
FFT,SD,Expert,12+,12.7,100.3135,1050,275
雷切-RAIKIRI-,SD,Expert,12+,12.8,100.7869,1765,288
Schwarzschild,SD,Expert,12+,12.9,99.975,1404,272
Black Out,SD,Expert,13,13,93.0508,671,183
Fragrance,SD,Expert,12+,12.7,98.7617,731,254
Excalibur ～Revived resolution～,SD,Expert,13,13,99.9352,1696,274
Caliburne ～Story of the Legendary sword～,SD,Expert,12+,12.9,100.4297,1790,279
Death Scythe,SD,Expert,12,12.1,99.7953,1360,254
Lividi,SD,Expert,13,13.2,100.5029,1650,297
larva,SD,Expert,12+,12.9,99.6574,1964,271
Jumble Rumble,SD,Expert,12+,12.9,99.3474,1793,266
LANCE,SD,Expert,11+,11.7,99.2398,1502,241
Beat of getting entangled,SD,Expert,12+,12.8,99.7161,1228,269
System “Z”,SD,Expert,12+,12.8,98.7716,1244,256
Titania,DX,Expert,12,12.5,100.3084,1917,270
YURUSHITE,DX,Expert,12,12.5,100.3028,2036,270
MEGATON BLAST,DX,Expert,12+,12.9,100.5434,2506,290
脳天直撃,DX,Expert,12+,12.9,100.6933,2111,290
Falsum Atlantis.,DX,Expert,12,12.5,98.9516,1687,251
"Good bye, Merry-Go-Round.",DX,Expert,12,12.5,100.4543,1659,271
奏者はただ背中と提琴で語るのみ,SD,Expert,12,12.3,100.6294,1623,276
The wheel to the right,SD,Expert,13,13.3,100.6382,2319,299
エンドマークに希望と涙を添えて,SD,Expert,12+,12.7,100.7972,1894,285
World Vanquisher,SD,Expert,12+,12.8,98.8463,1800,256
怒槌,SD,Expert,13,13.3,98.8843,1936,266
TiamaT:F minor,SD,Expert,13,13.1,99.5637,2084,275
Kattobi KEIKYU Rider,SD,Expert,13,13.2,99.2739,2081,272
玩具狂奏曲 -終焉-,DX,Expert,13,13.3,98.5413,1591,266
Climax,DX,Expert,12,12,100.3016,2179,259
宛城、炎上！！,DX,Expert,12,12.5,100.3333,1920,270
ハジマリノピアノ,DX,Expert,10+,10.8,98.8646,1633,216
宿星審判,DX,Expert,12,12.2,100.5119,1865,274
スピカの天秤,DX,Expert,13,13.1,100.7507,2017,294
ハードコア・シンドローム,DX,Expert,12,12.5,100.5418,1995,281
otorii INNOVATED -[i]3-,DX,Expert,13,13,99.8309,1916,273
8-EM,DX,Expert,12,12.5,100.1717,1870,270
YONA YONA DANCE,DX,Master,12,12.5,99.708,1782,262
前前前世,SD,Master,12+,12.9,99.7799,1790,271
　,DX,Master,12+,12.8,99.5359,1621,268
Photon Melodies,DX,Master,13,13.2,96.1163,1460,213
真・ハンサム体操でズンドコホイ,SD,Master,13,13.4,96.6555,1231,217
ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,SD,Master,13,13.2,100.5083,1389,297
日本の米は世界一,SD,Master,13,13.3,97.9914,1741,260
ポップミュージックは僕のもの,SD,Master,12,12.5,96.5316,1326,202
にじよめちゃん体操第一億,SD,Master,13+,13.7,89.8026,990,167
インドア系ならトラックメイカー,DX,Master,13,13.4,97.4128,1746,261
エンヴィーベイビー,DX,Master,13,13,100.5022,2123,292
KING,DX,Master,12+,12.9,97.711,1952,252
アンドロイドガール,DX,Master,12+,12.9,97.3252,1956,251
ゴーストルール,DX,Master,12+,12.9,97.4333,1683,251
僕は空気が嫁ない,DX,Master,13,13.2,98.8088,1883,264
終点,SD,Master,13+,13.8,100.2047,1851,298
グッバイ宣言,DX,Master,12+,12.8,99.7011,1803,269
春嵐,DX,Master,13,13.4,98.9576,1663,269
ラグトレイン,DX,Master,13,13.2,100.0991,2074,285
命に嫌われている,DX,Master,12+,12.8,100.5893,2409,288
ナンセンス文学,SD,Master,13,13.4,93.303,1775,190
Alice in 冷凍庫,DX,Master,12+,12.8,97.8211,1617,250
再会,DX,Master,12,12.2,97.9101,1643,238
約束,DX,Master,12,12,98.7065,1385,240
太陽系デスコ,DX,Master,12,12,97.9288,1833,235
彗星ハネムーン,SD,Master,12,12.5,99.0462,1890,257
トラフィック・ジャム,DX,Master,12+,12.8,99.2977,2404,264
だからパンを焼いたんだ,DX,Master,12,12,99.4564,2106,248
39みゅーじっく！,DX,Master,11+,11.8,98.4952,1499,235
ロキ,SD,Master,11+,11.8,100.5953,1937,265
六兆年と一夜物語,DX,Master,13+,13.7,99.7295,1852,288
六兆年と一夜物語,SD,Master,13+,13.8,99.5055,1827,289
敗北の少年,SD,Master,13,13.4,97.7811,2323,262
M.S.S.Planet,SD,Master,12,12.6,97.5046,1352,245
恋愛裁判,SD,Master,11+,11.8,100.3441,1665,255
からくりピエロ,SD,Master,12,12.5,98.6114,1100,250
アンハッピーリフレイン,SD,Master,13,13.4,98.9903,1888,269
やめろ！聴くな！,SD,Master,13,13.3,97.2885,1830,258
フリィダム ロリィタ,SD,Master,12,12.6,100.3559,1678,273
BAD∞END∞NIGHT,SD,Master,13,13.6,97.1164,1187,264
木彫り鯰と右肩ゾンビ,SD,Master,13+,13.7,98.9916,2374,275
悪戯センセーション,DX,Master,12+,12.7,100.4553,1731,275
華鳥風月,SD,Master,12+,12.8,99.3014,1575,264
月に叢雲華に風,DX,Master,12,12.6,100.2819,1192,272
月に叢雲華に風,SD,Master,13,13.2,98.9052,1191,265
色は匂へど散りぬるを,SD,Master,12,12.5,98.3592,1455,249
物凄いヴァイブスで魔理沙が物凄いラップ,DX,Master,13,13.4,96.4501,1937,217
ナイト・オブ・ナイツ,SD,Master,13,13.3,99.9004,1735,280
サドマミホリック,SD,Master,12,12.5,100.5255,2014,281
下克上々,DX,Master,13,13,99.1079,2067,267
White Traveling Girl,SD,Master,13,13.4,99.4967,2057,277
No Routine,SD,Master,13,13.4,95.6637,1929,215
Grip & Break down !!,SD,Master,13,13.3,97.6988,1749,259
Bad Apple!! feat nomico,SD,Master,12,12.5,100.2444,1530,270
魔理沙は大変なものを盗んでいきました,SD,Master,13,13.3,99.9305,1510,280
Phantasm Brigade,SD,Master,13,13.4,98.9632,2192,269
東方妖々夢 ～the maximum moving about～,SD,Master,13,13.3,100.071,2086,287
物凄い勢いでけーねが物凄いうた,SD,Master,12+,12.9,98.5413,1505,258
CYBER Sparks,SD,Master,12,12.5,100.5398,1675,281
Lights of Muse,DX,Master,13,13.2,100.513,1733,297
tape/stop/night,DX,Master,12+,12.8,99.8497,1522,269
Final Step!,DX,Master,13+,13.8,100.0761,2235,298
The 90's Decision,DX,Master,13,13,100.2244,1835,281
Let you DIVE!,DX,Master,12+,12.8,100.7656,1621,288
Knight Rider,DX,Master,13+,13.8,100.4585,2406,299
INTERNET OVERDOSE,DX,Master,13,13.5,100.6174,2235,303
Southern Cross,DX,Master,13,13.2,99.8356,2468,278
キラメキ居残り大戦争,DX,Master,13,13.2,99.6144,2155,277
ベースラインやってる？笑,DX,Master,13,13.4,99.2834,1851,276
FLOWER,SD,Master,13+,13.9,98.5609,1997,278
Brain Power,SD,Master,13,13.4,98.7545,1661,268
ALiVE,DX,Master,13,13.2,95.4316,1830,211
LOSE CONTROL,DX,Master,13+,13.7,93.8007,1423,195
MOBILYS,DX,Master,13,13.1,100.154,1931,283
emomomo,DX,Master,13+,13.7,96.8252,2123,222
アトロポスと最果の探究者,DX,Master,13+,13.7,100.0852,2156,296
energy trixxx,DX,Master,13+,13.8,98.9864,2351,277
Destr0yer,DX,Master,12+,12.9,95.212,1508,206
L4TS:2018 (feat. あひる & KTA),SD,Master,13,13.3,99.8291,1545,280
FREEDOM DiVE (tpz Overcute Remix),SD,Master,14,14,96.0091,2503,225
GOODMEN,SD,Master,13,13.4,98.8077,2166,268
オモイヨシノ,SD,Master,13,13.3,99.4944,1744,275
L9,SD,Master,13+,13.7,96.7666,1962,222
Like the Wind [Reborn],SD,Master,14,14,97.3239,1605,272
YA･DA･YO [Reborn],SD,Master,13,13.4,99.9189,1315,282
In Chaos,SD,Master,12,12.5,98.9987,957,251
Beat Of Mind,SD,Master,12,12.5,98.1166,831,248
JACKY [Remix],SD,Master,13+,13.7,98.3351,916,273
きみのためなら死ねる,SD,Master,12,12.5,98.3214,1304,249
源平大戦絵巻テーマソング,SD,Master,12+,12.8,99.1338,1088,263
ミルキースター・シューティングスター,DX,Master,12+,12.9,100.3187,2147,279
Secret Sleuth,DX,Master,12+,12.9,96.7281,1756,209
ｉｓｏｐｈｏｔｅ,DX,Master,13,13,100.6915,2001,292
とびだせ！TO THE COSMIC!!,DX,Master,13+,13.7,98.8156,2424,274
スローアライズ,DX,Master,12+,12.8,100.6614,1518,288
ぼくたちいつでも　しゅわっしゅわ！,DX,Master,13,13,98.4642,2016,259
絡めトリック利己ライザー,DX,Master,12+,12.7,98.9548,1955,255
でらっくmaimai♪てんてこまい!,DX,Master,12+,12.7,99.4392,2097,262
超常マイマイン,DX,Master,12+,12.7,97.813,2513,248
OTOGEMA,DX,Master,13+,13.7,98.8549,2227,274
いっしそう電☆舞舞神拳！,SD,Master,13+,13.7,100.3131,2292,296
Paradisoda,DX,Master,13,13.1,99.573,2085,275
Scarlet Wings,DX,Master,12+,12.9,100.2476,2036,279
夢花火,SD,Master,13+,13.7,99.3649,2378,283
Now or Never,DX,Master,13,13.5,99.9004,2678,284
アージェントシンメトリー,SD,Master,13,13.5,99.937,1957,284
FestivaLight,SD,Master,13,13.4,99.3843,1514,277
Kinda Way,SD,Master,12+,12.9,100.2589,1937,279
Magical Flavor,SD,Master,13,13.3,91.1862,1343,184
CYCLES,SD,Master,13,13.3,97.7533,1273,260
ぐるぐるWASH！コインランドリー・ディスコ,SD,Master,12,12.5,99.4195,1003,258
Night Fly,SD,Master,13,13.2,97.4467,697,257
connecting with you,SD,Master,13,13.2,98.3927,2118,263
Believe the Rainbow,SD,Master,13,13.4,99.3332,1207,276
MIRROR of MAGIC,SD,Master,13,13.2,98.7708,1409,264
Cosmic Train,SD,Master,12,12.5,97.3556,1004,243
ナミダと流星,SD,Master,12,12.5,100.2186,1390,270
maimaiちゃんのテーマ,SD,Master,12,12.4,99.1319,1018,255
Sweets×Sweets,SD,Master,11,11.4,100.4095,1036,247
犬日和。,SD,Master,12,12.4,98.0115,1007,246
Round Round Spinning Around,DX,Master,13,13.3,95.915,2015,214
華の集落、秋のお届け,DX,Master,13+,13.9,97.8153,2259,271
Stardust Memories,DX,Master,13,13,100.5842,1879,292
Flashkick,DX,Master,13,13.2,97.7365,2026,258
ここからはじまるプロローグ。,DX,Master,13,13.4,98.4513,1649,267
Oshama Scramble!,DX,Master,13+,13.7,99.6018,2673,287
Dragoon,SD,Master,13,13.4,97.3991,1556,261
Black Out,SD,Master,13,13.3,96.7524,822,216
Revive The Rave,SD,Master,13+,13.8,99.525,2383,289
STARTLINER,DX,Master,11+,11.8,98.5601,1357,236
No Limit RED Force,DX,Master,12+,12.7,100.4854,1842,275
UTAKATA,DX,Master,12,12.6,96.9631,1635,205
単一指向性オーバーブルーム,DX,Master,13,13.2,100.0908,2447,285
猫祭り,SD,Master,13,13.4,100.3062,2095,290
TRUST,SD,Master,13,13.1,100.4816,1953,284
イロトリドリのメロディ,SD,Master,12+,12.7,100.5531,1510,285
Infantoon Fantasy,SD,Master,13+,13.8,98.5894,2590,276
Invitation,SD,Master,13,13.1,100.5725,2217,294
Kattobi KEIKYU Rider,SD,Master,13+,13.7,99.7077,2170,288
Virtual to LIVE,DX,Re:MASTER,12+,12.8,99.8746,1797,269
Future,SD,Re:MASTER,12+,12.7,98.3988,1268,253
ヴァンパイア,DX,Re:MASTER,13,13.4,100.5686,2053,301
ヒバナ,SD,Re:MASTER,13,13.2,100.0731,1962,285
ロキ,SD,Re:MASTER,13,13.3,98.9263,2121,267
だんだん早くなる,SD,Re:MASTER,12+,12.7,99.3968,1409,262
マトリョシカ,SD,Re:MASTER,13,13.2,96.4559,1399,213
サドマミホリック,SD,Re:MASTER,13,13.3,98.4237,2450,265
クレイジークレイジーダンサーズ,SD,Re:MASTER,13,13.3,100.4965,2092,288
明星ロケット,SD,Re:MASTER,12+,12.7,96.6801,1220,206
檄！帝国華撃団(改),SD,Re:MASTER,13,13.1,100.1512,1260,283
Xevel,SD,Expert,12+,12.9,100.6834,1915,290
VIIIbit Explorer,DX,Master,14+,14.7,88.4171,2085,176
吾輩よ猫であれ,DX,Master,12,12.2,100.3321,1533,264
ネ！コ！,SD,Master,13,13,100.2489,1642,281
+♂,SD,Master,13,13.4,99.1023,2133,276
バイオレンストリガー,DX,Master,13,13.2,99.9574,2225,278
Garden Of The Dragon,SD,Master,13,13.3,95.4775,1488,213
Never Give Up!,DX,Master,13+,13.8,99.4803,1951,285
Blows Up Everything,DX,Master,13+,13.8,98.685,2643,276
光線チューニング,SD,Master,13+,13.7,95.3912,2228,219
終点,SD,Expert,12,12.4,100.5966,1421,279
腐れ外道とチョコレゐト,SD,Expert,12+,12.7,97.5286,1161,247
ARROW,SD,Expert,12,12.1,99.6837,1352,254
エテルニタス・ルドロジー,SD,Expert,11,11.3,100.3052,1443,244
First Dance,DX,Expert,12,12.1,99.8385,1631,254
Altale,SD,Expert,12,12.4,100.6777,1074,279
Halcyon,DX,Expert,11,11.4,100.6772,1713,256
Aiolos,SD,Expert,12+,12.7,100.3611,1904,275
Oshama Scramble!,SD,Expert,11+,11.9,100.5823,1578,267
四月の雨,SD,Expert,12,12.5,99.4701,998,258
Revive The Rave,SD,Expert,12+,12.7,99.7448,1647,267
Get Happy,SD,Expert,12+,12.9,99.7934,1385,271
失敗作少女,DX,Master,13,13.1,100.2258,2149,283
拝啓ドッペルゲンガー,SD,Master,13+,13.8,99.8615,2731,290
深海少女,SD,Master,13,13.2,97.4205,1400,257
ロストワンの号哭,SD,Master,13,13.5,99.27,2381,278
林檎華憐歌,SD,Master,12,12.5,99.066,1806,257
Calamity Fortune,DX,Master,13,13.5,98.242,2422,269
ナイト・オブ・ナイツ (Cranky Remix),DX,Master,13,13.2,100.712,2236,297
幻想のサテライト,SD,Master,14,14,98.5302,2155,280
Grip & Break down !!,DX,Master,13,13.5,99.6373,2460,283
東方スイーツ！～鬼畜姉妹と受難メイド～,SD,Master,13,13.2,98.1195,1411,262
Doll Judgment,SD,Master,13+,13.8,100.1951,2315,298
Halcyon,DX,Master,13,13.6,99.7246,2661,286
Sakura Fubuki,SD,Master,13+,13.9,97.0681,1613,269
Reach For The Stars,SD,Master,13+,13.9,100.2065,1436,300
噛み係,DX,Master,13,13.5,99.7997,1960,284
My My My,DX,Master,13+,13.7,99.6366,2104,288
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,SD,Master,13,13.4,99.8468,2168,282
My Dearest Song,SD,Master,13,13.3,99.9603,2078,280
花と、雪と、ドラムンベース。,SD,Re:MASTER,13+,13.8,96.6054,961,223
頓珍漢の宴,SD,Expert,11+,11.7,100.4192,1651,253
極圏,SD,Expert,12+,12.9,99.9444,1506,272
B.M.S.,SD,Expert,12,12.6,100.2348,1367,272
ULTRA B+K,SD,Expert,11+,11.9,99.8148,1409,250
"Good Bye, Mr. Jack",SD,Expert,12+,12.9,100.6965,1697,290
チエルカ／エソテリカ,DX,Expert,12,12.5,100.6203,2000,281
GRÄNDIR,DX,Expert,11,11,99.5085,1510,230
Mare Maris,SD,Expert,12,12.5,100.6476,1495,281
GEMINI -M-,SD,Expert,11+,11.9,100.2631,1739,257
ラブリー☆えんじぇる!!,SD,Master,12,12.5,99.7883,1334,263
神々が恋した幻想郷,DX,Master,13,13.5,99.0067,2375,278
マツヨイナイトバグ,DX,Master,13+,13.9,99.1927,2611,286
taboo tears you up,DX,Master,13+,13.9,94.1642,2153,219
taboo tears you up,SD,Master,13,13.4,99.5089,2427,281
セイクリッド　ルイン,SD,Master,13+,13.9,99.5529,2519,291
前衛的Landscape,DX,Master,13+,13.8,99.2347,1920,284
トリアージ,DX,Master,13,13.1,98.0618,1555,260
Starry Colors,DX,Master,14,14,98.6481,2381,280
チエルカ／エソテリカ,DX,Master,14,14.2,98.069,2789,282
VANTABLACK RAVER,DX,Master,13+,13.8,99.03,2233,284
ワンダーシャッフェンの法則,DX,Master,14,14,95.9667,1856,225
oboro,SD,Master,13+,13.7,98.4348,1589,273
ぱくぱく☆がーる,DX,Master,13,13,96.3308,2571,210
-OutsideR:RequieM-,SD,Master,13+,13.7,99.3671,2148,283
Bad Apple!! feat.nomico (REDALiCE Remix),DX,Master,12,12.6,97.4607,1868,245
脳漿炸裂ガール,SD,Expert,12+,12.7,100.2523,1160,275
CITRUS MONSTER,SD,Expert,12+,12.9,99.5058,1607,270
HERA,SD,Expert,12+,12.9,99.3643,1801,266
キミノヨゾラ哨戒班,SD,Master,12+,12.9,98.7288,1840,258
白ゆき,SD,Master,13,13.4,100.5394,1933,301
響け！CHIREI MY WAY!,DX,Master,12+,12.7,99.808,1483,267
ロストワードクロニカル,DX,Master,13,13.4,98.3813,2332,267
チルノのパーフェクトさんすう教室　⑨周年バージョン,SD,Master,13,13.4,98.2324,1934,267
Love's Theme of BADASS ～バッド・アス 愛のテーマ～,DX,Master,14,14.1,100.0033,2867,304
ヨミビトシラズ,DX,Master,13+,13.7,98.9584,2358,275
時計の国のジェミニ,DX,Master,13,13,100.4404,1911,282
無敵We are one!!,SD,Master,13+,13.7,100.0138,2466,295
Southern Cross,DX,Re:MASTER,13+,13.9,94.6506,2640,221
ジングルベル,SD,Re:MASTER,14,14.2,70.2373,1165,111
遺伝子レベル∞スパイラル,DX,Master,13+,13.7,100.1583,2185,296
Limit Break,SD,Master,13,13.4,99.3652,1923,276
maiム・maiム feat.週刊少年マガジン,SD,Master,13,13.2,97.1961,1677,256
MAXRAGE,DX,Master,13+,13.8,98.3452,2382,275
初音ミクの激唱,SD,Expert,12,12.4,98.7295,1382,248
セツナトリップ,SD,Master,13,13.3,99.2169,1686,274
踊れオーケストラ,SD,Master,12,12,100.5442,1777,270
Cyaegha,DX,Master,13+,13.7,98.8712,2425,274
人里に下ったアタイがいつの間にか社畜になっていた件,SD,Master,14,14,95.7083,2102,225
若い力,DX,Master,13,13.3,96.3178,1275,215
疾走あんさんぶる,SD,Master,13+,13.7,98.1329,2173,272
カゲロウデイズ,SD,Re:MASTER,14,14,74.3447,1548,116
Imperishable Night 2006 (2016 Refine),SD,Master,13+,13.9,98.5747,2531,278
Rush-More,DX,Master,13,13.5,96.5492,2153,218
パラボラ,DX,Master,13+,13.9,99.5892,2502,292
Selector,SD,Master,13+,13.7,98.3506,1859,273
モ°ルモ°ル,DX,Master,13+,13.9,96.6223,2273,225
TwisteD! XD,DX,Master,13+,13.7,99.244,2318,282
We Are Us,DX,Master,13,13.5,99.3321,2124,278
猛進ソリストライフ！,SD,Master,13+,13.7,100.0125,2164,295
HECATONCHEIR,DX,Expert,12+,12.7,100.6668,1908,285
Imperishable Night 2006 (2016 Refine),SD,Expert,12,12.3,100.3614,1719,266
Axeria,SD,Expert,12+,12.9,100.1023,1534,278
Ragnarok,SD,Expert,12+,12.7,99.9828,1420,267
ジングルベル,SD,Expert,10+,10.9,99.608,846,229
Credits,SD,Expert,13,13.3,98.1009,830,264
Our Wrenally,SD,Expert,13,13,97.4286,1611,253
Irresistible,DX,Master,13+,13.7,100.1088,2067,296
Aetheric Energy,DX,Master,13,13.4,99.2191,1902,276
DADDY MULK -Groove remix-,SD,Master,13+,13.8,98.5657,1894,276
c.s.q.n.,DX,Master,13+,13.8,97.8124,2096,269
どうしてこうなった,SD,Master,13+,13.7,97.5042,2300,267
NULCTRL,DX,Master,13+,13.9,97.4598,2207,270
立川浄穢捕物帳,DX,Master,13+,13.9,96.8515,2348,226
みんなのマイマイマー,SD,Master,13+,13.7,96.6939,1517,222
ウミユリ海底譚,SD,Master,13,13.4,99.4942,1958,277
閃鋼のブリューナク,SD,Master,13+,13.9,97.5018,2338,271
初音天地開闢神話,DX,Master,13+,13.9,97.9528,2459,272
ハードコア・シンドローム,DX,Master,13+,13.9,99.3884,2899,287
HECATONCHEIR,DX,Master,14,14.1,98.7539,2632,282
B.B.K.K.B.K.K.,SD,Master,14,14,97.8265,2194,273
Princess♂,DX,Master,13+,13.7,94.7102,1531,217
enchanted love,DX,Master,13+,13.7,96.3322,1452,221
FFT,SD,Master,14,14,98.9946,2133,281
Technicians High,SD,Master,13+,13.8,94.0937,1783,218
DRAGONLADY,SD,Master,14,14,93.7155,1365,199
METATRON,SD,Master,14,14,98.058,2250,278
HAGAKIRI,DX,Master,13+,13.9,96.508,1792,225
Caterpillar Song,DX,Master,13+,13.9,91.7812,1062,193
BLACK SWAN,DX,Master,14,14.6,95.8398,2321,235
